  Epoch    Dlat    DLon    DHoriz  Dheight 
  495831  -0.151  -0.491   0.514   0.272  
  495832  -0.155  -0.493   0.517   0.274  
  495833  -0.159  -0.489   0.514   0.287  
  495834  -0.165  -0.487   0.514   0.293  
  495835  -0.171  -0.484   0.514   0.303  
  495836  -0.176  -0.485   0.516   0.310  
  495837  -0.178  -0.487   0.518   0.312  
  495838  -0.186  -0.488   0.522   0.312  
  495839  -0.187  -0.486   0.521   0.323  
  495840  -0.193  -0.489   0.526   0.319  
  495841  -0.197  -0.488   0.526   0.322  
  495842  -0.201  -0.488   0.528   0.321  
  495843  -0.208  -0.486   0.529   0.331  
  495844  -0.210  -0.486   0.529   0.340  
  495845  -0.215  -0.484   0.530   0.346  
  495846  -0.219  -0.486   0.533   0.349  
  495847  -0.223  -0.485   0.534   0.351  
  495848  -0.229  -0.487   0.538   0.357  
  495849  -0.231  -0.486   0.539   0.360  
  495850  -0.234  -0.485   0.539   0.364  
  495851  -0.237  -0.487   0.541   0.366  
  495852  -0.242  -0.486   0.543   0.370  
  495853  -0.247  -0.485   0.544   0.374  
  495854  -0.252  -0.487   0.548   0.376  
  495855  -0.258  -0.488   0.552   0.381  
  495856  -0.260  -0.490   0.555   0.383  
  495857  -0.265  -0.492   0.559   0.385  
  495858  -0.269  -0.489   0.559   0.400  
  495859  -0.275  -0.488   0.560   0.404  
  495860  -0.278  -0.487   0.561   0.414  
  495861  -0.282  -0.491   0.567   0.414  
  495862  -0.284  -0.491   0.567   0.417  
  495863  -0.289  -0.493   0.572   0.418  
  495864  -0.291  -0.494   0.574   0.415  
  495865  -0.293  -0.493   0.574   0.425  
  495866  -0.297  -0.497   0.579   0.419  
  495867  -0.298  -0.496   0.579   0.428  
  495868  -0.304  -0.494   0.580   0.438  
  495869  -0.304  -0.495   0.581   0.438  
  495870  -0.310  -0.498   0.587   0.442  
  495871  -0.311  -0.500   0.589   0.444  
  495872  -0.315  -0.504   0.595   0.445  
  495873  -0.316  -0.507   0.598   0.445  
  495874  -0.317  -0.512   0.602   0.440  
  495875  -0.326  -0.511   0.606   0.461  
  495876  -0.338  -0.501   0.604   0.498  
  495877  -0.343  -0.509   0.613   0.495  
  495878  -0.345  -0.510   0.615   0.498  
  495879  -0.350  -0.511   0.619   0.504  
  495880  -0.352  -0.512   0.621   0.499  
  495881  -0.354  -0.516   0.625   0.501  
  495882  -0.358  -0.517   0.629   0.502  
  495883  -0.359  -0.518   0.630   0.499  
  495884  -0.361  -0.523   0.636   0.491  
  495885  -0.363  -0.524   0.637   0.489  
  495886  -0.363  -0.527   0.640   0.487  
  495887  -0.362  -0.529   0.641   0.482  
  495888  -0.362  -0.530   0.642   0.490  
  495889  -0.366  -0.530   0.644   0.491  
  495890  -0.366  -0.533   0.646   0.486  
  495891  -0.367  -0.537   0.650   0.481  
  495892  -0.370  -0.538   0.653   0.485  
  495893  -0.371  -0.540   0.655   0.486  
  495894  -0.373  -0.542   0.658   0.481  
  495895  -0.372  -0.543   0.658   0.478  
  495896  -0.371  -0.543   0.658   0.482  
  495897  -0.371  -0.545   0.659   0.483  
  495898  -0.370  -0.546   0.660   0.482  
  495899  -0.368  -0.547   0.659   0.472  
  495900  -0.369  -0.546   0.659   0.469  
  495901  -0.370  -0.549   0.663   0.466  
  495902  -0.369  -0.548   0.661   0.464  
  495903  -0.372  -0.548   0.662   0.465  
  495904  -0.369  -0.548   0.661   0.459  
  495905  -0.371  -0.550   0.664   0.454  
  495906  -0.369  -0.545   0.658   0.456  
  495907  -0.366  -0.546   0.657   0.455  
  495908  -0.363  -0.544   0.654   0.448  
  495909  -0.364  -0.542   0.653   0.449  
  495910  -0.362  -0.542   0.652   0.450  
  495911  -0.359  -0.540   0.648   0.447  
  495912  -0.353  -0.536   0.642   0.439  
  495913  -0.355  -0.538   0.644   0.441  
  495914  -0.353  -0.537   0.642   0.437  
  495915  -0.352  -0.535   0.641   0.434  
  495916  -0.345  -0.533   0.635   0.431  
  495917  -0.342  -0.532   0.632   0.428  
  495918  -0.342  -0.529   0.630   0.433  
  495919  -0.329  -0.524   0.618   0.404  
  495920  -0.348  -0.533   0.636   0.433  
  495921  -0.347  -0.531   0.634   0.430  
  495922  -0.344  -0.530   0.632   0.422  
  495923  -0.343  -0.526   0.628   0.430  
  495924  -0.342  -0.527   0.628   0.424  
  495925  -0.340  -0.527   0.627   0.421  
  495926  -0.336  -0.525   0.623   0.412  
  495927  -0.334  -0.522   0.620   0.415  
  495928  -0.335  -0.516   0.615   0.425  
  495929  -0.335  -0.515   0.614   0.420  
  495930  -0.332  -0.512   0.610   0.416  
  495931  -0.330  -0.509   0.607   0.410  
  495932  -0.326  -0.507   0.603   0.406  
  495933  -0.321  -0.504   0.598   0.403  
  495934  -0.321  -0.502   0.596   0.404  
  495935  -0.317  -0.500   0.592   0.403  
  495936  -0.315  -0.498   0.589   0.406  
  495937  -0.315  -0.495   0.587   0.408  
  495938  -0.314  -0.491   0.583   0.408  
  495939  -0.309  -0.491   0.580   0.407  
  495940  -0.309  -0.489   0.578   0.409  
  495941  -0.305  -0.484   0.573   0.416  
  495942  -0.302  -0.482   0.568   0.416  
  495943  -0.297  -0.478   0.562   0.414  
  495944  -0.294  -0.475   0.558   0.418  
