latitude_decimal_degree,longitude_decimal_degree,ellipsoidal_height_m,decimal_hour,day_of_year,year,ortho_height_m_cgvd2013,rcvr_clk_ns
45.94790164999999,-66.63139694166668,-21.7922,19.32528,278,2024,1.224,415477.864
45.94790156388887,-66.63139671388889,-21.7822,19.32556,278,2024,1.234,414580.042
45.947901394444436,-66.63139675277777,-21.8084,19.32583,278,2024,1.208,413682.032
45.94790129166666,-66.63139655555555,-21.8189,19.32611,278,2024,1.197,412784.058
45.947901277777774,-66.63139625277778,-21.7989,19.32639,278,2024,1.217,411886.140
45.947901141666655,-66.6313962722222,-21.794,19.32667,278,2024,1.222,410988.441
45.9479011361111,-66.6313963472222,-21.7831,19.32694,278,2024,1.233,410090.527
45.94790102777777,-66.63139621388886,-21.7944,19.32722,278,2024,1.222,409192.831
45.94790103333332,-66.6313961861111,-21.7884,19.32750,278,2024,1.228,408294.958
45.947901016666655,-66.63139602499999,-21.786,19.32778,278,2024,1.230,407397.040
45.94790091666666,-66.63139572499999,-21.7838,19.32806,278,2024,1.232,406498.969
45.94790069999999,-66.63139552222222,-21.7999,19.32833,278,2024,1.216,405601.079
45.947900491666665,-66.6313953,-21.7934,19.32861,278,2024,1.223,404703.242
45.94790031388888,-66.63139483055555,-21.7939,19.32889,278,2024,1.222,403805.196
45.9479002,-66.63139464166666,-21.7896,19.32917,278,2024,1.227,402907.085
45.94790005833333,-66.63139443333334,-21.8047,19.32944,278,2024,1.212,402009.428
45.947899919444424,-66.63139409166665,-21.7978,19.32972,278,2024,1.218,401111.639
45.947899808333325,-66.6313937861111,-21.7964,19.33000,278,2024,1.220,400213.747
45.94789974166665,-66.63139357222222,-21.8097,19.33028,278,2024,1.206,399315.643
45.94789971944444,-66.63139326666665,-21.8063,19.33056,278,2024,1.210,398417.481
45.94789969166666,-66.63139305,-21.7976,19.33083,278,2024,1.219,397519.473
45.947899630555554,-66.63139278888889,-21.812,19.33111,278,2024,1.204,396621.380
45.947899566666656,-66.63139262222222,-21.8076,19.33139,278,2024,1.209,395723.373
45.947899594444436,-66.63139248888888,-21.7972,19.33167,278,2024,1.219,394825.601
45.947899622222224,-66.63139256944443,-21.8012,19.33194,278,2024,1.215,393927.937
45.94789941944443,-66.63139265,-21.8104,19.33222,278,2024,1.206,393030.172
45.947899252777766,-66.63139233888887,-21.8083,19.33250,278,2024,1.208,392132.403
45.94789884444444,-66.63139189444443,-21.8007,19.33278,278,2024,1.215,391234.570
45.94789843333333,-66.63139130277777,-21.8082,19.33306,278,2024,1.208,390337.009
45.94789801944444,-66.63139058888886,-21.8073,19.33333,278,2024,1.209,389439.321
45.94789749166666,-66.63138977222222,-21.8076,19.33361,278,2024,1.209,388541.731
45.94789696388888,-66.6313892861111,-21.8117,19.33389,278,2024,1.204,387644.155
45.947896449999995,-66.63138874444444,-21.8034,19.33417,278,2024,1.213,386746.535
45.94789596388888,-66.63138819444444,-21.7995,19.33444,278,2024,1.217,385848.937
45.94789546944444,-66.63138780555553,-21.7936,19.33472,278,2024,1.223,384951.376
45.94789481388888,-66.63138721944442,-21.7974,19.33500,278,2024,1.219,384053.536
45.94789431388889,-66.63138669444444,-21.8005,19.33528,278,2024,1.216,383155.631
45.947893799999996,-66.63138626388888,-21.7965,19.33556,278,2024,1.220,382257.625
45.947893441666665,-66.63138573055554,-21.8039,19.33583,278,2024,1.212,381359.752
45.9478930611111,-66.63138529166665,-21.8004,19.33611,278,2024,1.216,380461.945
45.94789268611111,-66.63138485555554,-21.7913,19.33639,278,2024,1.225,379564.143
45.947892286111106,-66.63138447499998,-21.7924,19.33667,278,2024,1.224,378666.659
45.94789192222222,-66.63138398055555,-21.7888,19.33694,278,2024,1.227,377769.178
45.9478916111111,-66.63138350555553,-21.7943,19.33722,278,2024,1.222,376871.681
45.94789137499999,-66.63138329722221,-21.7883,19.33750,278,2024,1.228,375974.238
45.947891227777774,-66.63138296666665,-21.7915,19.33778,278,2024,1.225,375076.981
45.94789118888888,-66.63138263888888,-21.787,19.33806,278,2024,1.229,374179.593
45.94789102777777,-66.63138242499997,-21.7928,19.33833,278,2024,1.223,373281.992
