  Epoch    Dlat    DLon    DHoriz  Dheight 
  495845   0.936   1.177   1.504   8.623  
  495846   0.791   1.162   1.406   8.569  
  495847   0.695   0.953   1.180   8.290  
  495848  -0.125   1.847   1.851  11.434  
  495849  -0.197   2.055   2.065  11.955  
  495850  -0.196   2.046   2.056  11.989  
  495851  -0.121   2.170   2.173  12.075  
  495852  -0.167   2.174   2.181  12.190  
  495853  -0.332   2.175   2.200  12.111  
  495854  -0.300   2.098   2.120  12.090  
  495855  -0.324   2.148   2.173  12.175  
  495856  -0.374   2.209   2.241  12.389  
  495857  -0.510   2.282   2.338  12.477  
  495858  -0.488   2.357   2.407  12.531  
  495859  -0.495   2.238   2.292  12.241  
  495860  -0.485   2.179   2.232  12.034  
  495861  -0.397   2.038   2.076  11.897  
  495862  -0.423   1.882   1.929  11.570  
  495863  -0.369   1.747   1.785  11.515  
  495864  -0.420   1.774   1.823  11.470  
  495865  -0.417   1.834   1.881  11.606  
  495866  -0.398   1.860   1.902  11.261  
  495867  -0.392   1.910   1.950  11.273  
  495868  -0.422   1.871   1.918  11.288  
  495869  -0.433   1.911   1.959  11.577  
  495870  -0.390   1.805   1.846  11.776  
  495871  -0.340   1.857   1.888  11.905  
  495872  -0.427   1.923   1.970  12.142  
  495873  -0.407   1.999   2.040  12.188  
  495874  -0.395   1.879   1.920  11.749  
  495875  -0.346   1.906   1.937  11.828  
  495876  -0.390   1.806   1.848  11.698  
  495877  -0.320   1.904   1.931  11.846  
  495878  -0.349   1.879   1.911  11.699  
  495879  -0.255   1.812   1.830  11.791  
  495880  -0.399   1.895   1.936  11.927  
  495881  -0.447   1.898   1.949  12.099  
  495882  -0.510   1.937   2.002  12.259  
  495883  -0.609   1.882   1.978  12.281  
  495884  -0.623   1.969   2.066  12.330  
  495885  -0.555   1.930   2.008  12.481  
  495886  -0.605   1.900   1.994  12.869  
  495887  -0.656   1.863   1.976  12.622  
  495888  -0.578   1.872   1.959  12.558  
  495889  -0.610   1.850   1.948  12.136  
  495890  -0.555   1.823   1.906  11.881  
  495891  -0.394   1.843   1.885  11.739  
  495892  -0.382   1.854   1.893  11.666  
  495893  -0.327   1.963   1.990  11.581  
  495894  -0.497   2.065   2.124  11.612  
  495895  -0.534   2.012   2.081  11.569  
  495896  -0.466   1.962   2.017  11.678  
  495897  -0.508   2.060   2.122  11.955  
  495898  -0.421   1.941   1.986  11.802  
  495899  -0.332   1.997   2.024  11.957  
  495900  -0.235   1.944   1.958  11.789  
  495901  -0.321   1.846   1.874  11.727  
  495902  -0.363   1.739   1.776  11.464  
  495903  -0.551   1.772   1.856  11.653  
  495904  -0.655   1.822   1.937  11.683  
  495905  -0.581   1.819   1.909  11.704  
  495906  -0.556   1.772   1.857  11.776  
  495907  -0.553   1.691   1.779  11.693  
  495908  -0.644   1.671   1.791  11.673  
  495909  -0.666   1.652   1.781  11.759  
  495910  -0.695   1.714   1.850  11.857  
  495911  -0.472   1.703   1.767  11.732  
  495912  -0.493   1.692   1.763  11.821  
  495913  -1.131   1.339   1.753  12.541  
  495914  -0.311   2.085   2.108  12.112  
  495915  -0.208   2.300   2.309  12.425  
  495916  -0.400   2.248   2.284  12.588  
  495917  -0.391   2.027   2.065  12.142  
  495918  -0.540   1.683   1.767  11.990  
  495919  -0.299   1.682   1.709  11.764  
  495920  -0.196   1.695   1.706  11.660  
  495921  -0.155   1.827   1.833  11.719  
  495922  -0.411   1.794   1.840  11.847  
  495923  -0.519   1.877   1.947  11.763  
  495924  -0.515   1.890   1.959  11.778  
  495925  -0.711   1.937   2.063  11.973  
  495926  -0.670   1.942   2.055  12.114  
  495927  -0.638   1.852   1.959  12.134  
  495928  -0.518   1.900   1.969  12.145  
  495929  -0.454   1.780   1.837  11.875  
  495930  -0.537   1.673   1.758  11.601  
  495931  -0.561   1.648   1.741  11.246  
  495932  -0.483   1.722   1.789  11.147  
  495933  -0.469   1.716   1.778  11.074  
  495934  -0.545   1.747   1.830  11.394  
  495935  -0.587   1.839   1.931  11.683  
  495936  -0.606   1.737   1.839  11.503  
  495937  -0.567   1.630   1.726  11.414  
  495938  -0.528   1.578   1.664  11.389  
  495939  -0.506   1.604   1.682  11.458  
  495940  -0.468   1.690   1.754  11.911  
  495941  -0.285   1.749   1.772  12.087  
  495942  -0.243   1.767   1.784  12.171  
  495943  -0.192   1.852   1.862  12.260  
  495944  -0.078   1.658   1.660  12.136  
  495945  -0.334   1.698   1.731  12.313  
  495946  -0.438   1.668   1.724  12.169  
  495947  -0.518   1.796   1.869  12.242  
  495948  -0.425   1.698   1.750  11.935  
  495949  -0.285   1.762   1.785  11.968  
  495950  -0.504   1.902   1.967  12.263  
  495951  -0.500   1.854   1.920  11.887  
  495952  -0.421   1.739   1.789  11.377  
  495953  -0.495   1.759   1.828  11.718  
  495954  -0.696   1.849   1.976  12.044  
  495955  -0.651   1.894   2.003  12.089  
  495956  -0.453   1.752   1.809  11.558  
  495957  -0.357   1.731   1.767  11.455  
  495958  -0.321   1.677   1.707  11.409  
  495959  -0.207   1.779   1.791  11.545  
  495960  -0.173   1.761   1.769  11.484  
  495961  -0.091   1.766   1.769  11.381  
  495962  -0.295   1.897   1.920  11.540  
  495963  -0.299   1.940   1.963  11.417  
  495964  -0.384   1.983   2.020  11.500  
  495965  -0.201   1.918   1.929  11.279  
  495966  -0.247   1.819   1.836  11.195  
  495967  -0.316   1.832   1.859  11.313  
  495968  -0.164   1.758   1.766  11.171  
  495969  -0.111   1.689   1.692  11.186  
  495970  -0.165   1.715   1.723  11.193  
  495971  -0.291   1.661   1.687  11.175  
  495972  -0.297   1.589   1.616  10.994  
  495973  -0.489   1.573   1.647  11.166  
  495974  -0.538   1.592   1.681  11.290  
  495975  -0.632   1.609   1.729  11.418  
  495976  -0.514   1.692   1.769  11.736  
  495977  -0.466   1.801   1.860  11.954  
  495978  -0.644   1.772   1.886  11.949  
  495979  -0.575   1.923   2.007  12.240  
  495980  -0.505   2.022   2.084  12.660  
  495981  -0.557   2.134   2.206  13.006  
  495982  -0.630   2.168   2.257  12.912  
  495983  -0.640   2.178   2.270  12.659  
  495984  -0.519   1.959   2.027  12.189  
  495985  -0.491   1.829   1.893  12.020  
  495986  -0.487   1.607   1.679  11.817  
  495987  -0.554   1.734   1.820  12.433  
  495988  -0.493   1.986   2.046  12.695  
  495989  -0.492   1.967   2.028  13.023  
  495990  -0.469   2.016   2.070  12.934  
