  Epoch    Dlat    DLon    DHoriz  Dheight 
  495831   0.115  -0.460   0.474  -0.182  
  495832   0.114  -0.465   0.479  -0.182  
  495833   0.119  -0.465   0.480  -0.182  
  495834   0.117  -0.468   0.483  -0.178  
  495835   0.109  -0.463   0.476  -0.169  
  495836   0.118  -0.464   0.479  -0.181  
  495837   0.117  -0.460   0.475  -0.178  
  495838   0.113  -0.463   0.477  -0.180  
  495839   0.121  -0.461   0.477  -0.172  
  495840   0.119  -0.466   0.480  -0.176  
  495841   0.122  -0.464   0.479  -0.187  
  495842   0.124  -0.464   0.480  -0.190  
  495843   0.121  -0.463   0.478  -0.188  
  495844   0.125  -0.462   0.478  -0.185  
  495845   0.113  -0.463   0.477  -0.170  
  495846   0.125  -0.466   0.483  -0.188  
  495847   0.130  -0.468   0.486  -0.194  
  495848   0.131  -0.468   0.486  -0.194  
  495849   0.131  -0.469   0.487  -0.197  
  495850   0.139  -0.463   0.483  -0.204  
  495851   0.141  -0.478   0.499  -0.199  
  495852   0.141  -0.481   0.501  -0.204  
  495853   0.140  -0.477   0.497  -0.203  
  495854   0.131  -0.477   0.494  -0.201  
  495855   0.131  -0.473   0.491  -0.201  
  495856   0.132  -0.476   0.494  -0.202  
  495857   0.140  -0.476   0.496  -0.215  
  495858   0.136  -0.475   0.494  -0.205  
  495859   0.135  -0.471   0.490  -0.208  
  495860   0.128  -0.468   0.485  -0.195  
  495861   0.131  -0.467   0.485  -0.204  
  495862   0.132  -0.471   0.489  -0.202  
  495863   0.128  -0.474   0.491  -0.201  
  495864   0.135  -0.475   0.494  -0.217  
  495865   0.122  -0.469   0.484  -0.186  
  495866   0.131  -0.479   0.496  -0.208  
  495867   0.134  -0.475   0.494  -0.206  
  495868   0.129  -0.471   0.488  -0.200  
  495869   0.134  -0.477   0.495  -0.200  
  495870   0.131  -0.478   0.496  -0.201  
  495871   0.129  -0.476   0.493  -0.200  
  495872   0.124  -0.474   0.490  -0.198  
  495873   0.127  -0.475   0.492  -0.197  
  495874   0.124  -0.475   0.491  -0.202  
  495875   0.118  -0.471   0.486  -0.186  
  495876   0.120  -0.471   0.486  -0.189  
  495877   0.120  -0.479   0.494  -0.193  
  495878   0.121  -0.483   0.498  -0.187  
  495879   0.118  -0.481   0.495  -0.184  
  495880   0.114  -0.480   0.493  -0.191  
  495881   0.113  -0.481   0.494  -0.186  
  495882   0.112  -0.482   0.495  -0.185  
  495883   0.117  -0.483   0.497  -0.186  
  495884   0.115  -0.487   0.501  -0.189  
  495885   0.118  -0.484   0.499  -0.195  
  495886   0.120  -0.481   0.496  -0.199  
  495887   0.118  -0.479   0.494  -0.197  
  495888   0.119  -0.479   0.494  -0.187  
  495889   0.111  -0.478   0.490  -0.187  
  495890   0.114  -0.479   0.492  -0.196  
  495891   0.123  -0.483   0.499  -0.203  
  495892   0.120  -0.487   0.502  -0.198  
  495893   0.116  -0.490   0.503  -0.190  
  495894   0.113  -0.486   0.499  -0.197  
  495895   0.117  -0.485   0.499  -0.204  
  495896   0.119  -0.483   0.498  -0.197  
  495897   0.124  -0.480   0.496  -0.203  
  495898   0.129  -0.486   0.503  -0.201  
  495899   0.128  -0.489   0.506  -0.205  
  495900   0.126  -0.491   0.506  -0.207  
  495901   0.125  -0.495   0.510  -0.209  
  495902   0.129  -0.492   0.508  -0.213  
  495903   0.122  -0.491   0.506  -0.211  
  495904   0.127  -0.490   0.506  -0.211  
  495905   0.124  -0.493   0.508  -0.223  
  495906   0.126  -0.490   0.506  -0.218  
  495907   0.126  -0.490   0.506  -0.216  
  495908   0.125  -0.492   0.507  -0.217  
  495909   0.117  -0.489   0.503  -0.206  
