Epoch   Baseline_Difference(m)   e_(m)
  495967           1.117           0.249
  495968           1.118           0.250
  495969           1.120           0.252
  495970           1.119           0.251
  495971           1.117           0.249
  495972           1.118           0.250
  495973           1.119           0.251
  495974           1.119           0.251
  495975           1.119           0.251
  495976           1.116           0.248
  495977           1.119           0.251
  495978           1.119           0.251
  495979           1.115           0.247
  495980           1.117           0.249
  495981           1.119           0.251
  495982           1.119           0.251
  495983           1.116           0.248
  495984           1.113           0.245
  495985           1.113           0.245
  495986           1.113           0.245
  495987           1.109           0.241
  495988           1.117           0.249
  495989           1.117           0.249
  495990           1.119           0.251
  495991           1.119           0.251
  495992           1.119           0.251
  495993           1.121           0.253
  495994           1.119           0.251
  495995           1.123           0.255
  495996           1.125           0.257
  495997           1.124           0.256
  495998           1.123           0.255
  495999           1.120           0.252
  496000           1.121           0.253
  496001           1.119           0.251
  496002           1.126           0.258
  496003           1.120           0.252
  496004           1.124           0.256
  496005           1.121           0.253
  496006           1.125           0.257
  496007           1.126           0.258
  496008           1.122           0.254
  496009           1.125           0.257
  496010           1.125           0.257
  496011           1.120           0.252
  496012           1.114           0.246
  496013           1.114           0.246
  496014           1.116           0.248
  496015           1.123           0.255
  496016           1.122           0.254
  496017           1.120           0.252
  496018           1.118           0.250
  496019           1.119           0.251
  496020           1.121           0.253
  496021           1.123           0.255
  496022           1.113           0.245
  496023           1.121           0.253
  496024           1.119           0.251
  496025           1.116           0.248
  496026           1.112           0.244
  496027           1.113           0.245
  496028           1.114           0.246
  496029           1.110           0.242
  496030           1.111           0.243
  496031           1.118           0.250
  496032           1.117           0.249
  496033           1.117           0.249
  496034           1.116           0.248
  496035           1.115           0.247
  496036           1.114           0.246
  496037           1.113           0.245
  496038           1.112           0.244
  496039           1.112           0.244
  496040           1.108           0.240
  496041           1.102           0.234
  496042           1.105           0.237
  496043           1.105           0.237
  496044           1.103           0.235
  496045           1.099           0.231
  496046           1.100           0.232
  496047           1.101           0.233
  496048           1.106           0.238
  496049           1.108           0.240
  496050           1.103           0.235
  496051           1.098           0.230
  496052           1.099           0.231
  496053           1.099           0.231
  496054           1.100           0.232
  496055           1.101           0.233
  496056           1.102           0.234
  496057           1.099           0.231
  496058           1.098           0.230
  496059           1.100           0.232
  496060           1.102           0.234
  496061           1.101           0.233
  496062           1.101           0.233
  496063           1.101           0.233
  496064           1.102           0.234
  496065           1.101           0.233
  496066           1.101           0.233
  496067           1.097           0.229
  496068           1.098           0.230
  496069           1.097           0.229
  496070           1.098           0.230
  496071           1.094           0.226
  496072           1.097           0.229
  496073           1.097           0.229
  496074           1.098           0.230
  496075           1.097           0.229
  496076           1.101           0.233
  496077           1.098           0.230
  496078           1.103           0.235
  496079           1.104           0.236
  496080           1.109           0.241
  496081           1.105           0.237
  496082           1.106           0.238
  496083           1.103           0.235
  496084           1.102           0.234
  496085           1.103           0.235
  496086           1.108           0.240
  496087           1.110           0.242
  496088           1.101           0.233
  496089           1.111           0.243
  496090           1.116           0.248
  496091           1.113           0.245
  496092           1.119           0.251
  496093           1.117           0.249
  496094           1.109           0.241
  496095           1.101           0.233
  496096           1.095           0.227
  496097           1.102           0.234
  496098           1.108           0.240
  496099           1.107           0.239
  496100           1.106           0.238
  496101           1.112           0.244
  496102           1.112           0.244
  496103           1.116           0.248
  496104           1.121           0.253
  496105           1.120           0.252
  496106           1.120           0.252
  496107           1.120           0.252
  496108           1.121           0.253
  496109           1.118           0.250
  496110           1.119           0.251
  496111           1.119           0.251
  496112           1.118           0.250
  496113           1.117           0.249
  496114           1.120           0.252
  496115           1.119           0.251
  496116           1.119           0.251
  496117           1.126           0.258
  496118           1.120           0.252
  496119           1.121           0.253
  496120           1.115           0.247
  496121           1.117           0.249
  496122           1.114           0.246
  496123           1.112           0.244
  496124           1.110           0.242
  496125           1.105           0.237
  496126           1.101           0.233
  496127           1.102           0.234
  496128           1.102           0.234
  496129           1.100           0.232
  496130           1.096           0.228
  496131           1.093           0.225
  496132           1.091           0.223
  496133           1.094           0.226
  496134           1.096           0.228
  496135           1.103           0.235
  496136           1.103           0.235
  496137           1.106           0.238
  496138           1.108           0.240
  496139           1.108           0.240
  496140           1.105           0.237
  496141           1.108           0.240
  496142           1.109           0.241
  496143           1.110           0.242
  496144           1.112           0.244
  496145           1.116           0.248
  496146           1.115           0.247
  496147           1.113           0.245
  496148           1.112           0.244
  496149           1.108           0.240
  496150           1.108           0.240
  496151           1.108           0.240
  496152           1.106           0.238
  496153           1.109           0.241
  496154           1.108           0.240
  496155           1.110           0.242
  496156           1.110           0.242
  496157           1.112           0.244
  496158           1.109           0.241
  496159           1.109           0.241
  496160           1.111           0.243
  496161           1.114           0.246
  496162           1.115           0.247
  496163           1.110           0.242
  496164           1.106           0.238
  496165           1.106           0.238
  496166           1.105           0.237
  496167           1.100           0.232
  496168           1.102           0.234
  496169           1.102           0.234
  496170           1.104           0.236
  496171           1.100           0.232
  496172           1.096           0.228
  496173           1.096           0.228
  496174           1.100           0.232
  496175           1.102           0.234
  496176           1.108           0.240
  496177           1.105           0.237
  496178           1.105           0.237
  496179           1.106           0.238
  496180           1.104           0.236
  496181           1.105           0.237
  496182           1.109           0.241
  496183           1.107           0.239
  496184           1.109           0.241
  496185           1.108           0.240
  496186           1.110           0.242
  496187           1.109           0.241
  496188           1.108           0.240
  496189           1.106           0.238
  496190           1.110           0.242
  496191           1.111           0.243
  496192           1.110           0.242
  496193           1.109           0.241
  496194           1.112           0.244
  496195           1.116           0.248
  496196           1.115           0.247
  496197           1.115           0.247
  496198           1.118           0.250
  496199           1.118           0.250
  496200           1.115           0.247
  496201           1.115           0.247
  496202           1.115           0.247
  496203           1.116           0.248
  496204           1.112           0.244
  496205           1.111           0.243
  496206           1.110           0.242
  496207           1.109           0.241
  496208           1.110           0.242
  496209           1.112           0.244
  496210           1.112           0.244
  496211           1.107           0.239
  496212           1.104           0.236
  496213           1.105           0.237
  496214           1.106           0.238
  496215           1.107           0.239
  496216           1.110           0.242
  496217           1.112           0.244
  496218           1.110           0.242
  496219           1.108           0.240
  496220           1.105           0.237
  496221           1.105           0.237
  496222           1.103           0.235
  496223           1.101           0.233
  496224           1.100           0.232
  496225           1.102           0.234
  496226           1.103           0.235
  496227           1.103           0.235
  496228           1.097           0.229
  496229           1.101           0.233
  496230           1.103           0.235
  496231           1.101           0.233
  496232           1.099           0.231
  496233           1.096           0.228
  496234           1.097           0.229
  496235           1.095           0.227
  496236           1.098           0.230
  496237           1.100           0.232
  496238           1.099           0.231
  496239           1.102           0.234
  496240           1.103           0.235
  496241           1.105           0.237
  496242           1.106           0.238
  496243           1.106           0.238
  496244           1.105           0.237
  496245           1.106           0.238
  496246           1.102           0.234
  496247           1.102           0.234
  496248           1.101           0.233
  496249           1.100           0.232
  496250           1.099           0.231
  496251           1.102           0.234
  496252           1.105           0.237
  496253           1.103           0.235
  496254           1.103           0.235
  496255           1.101           0.233
  496256           1.105           0.237
  496257           1.104           0.236
  496258           1.101           0.233
  496259           1.102           0.234
  496260           1.107           0.239
  496261           1.105           0.237
  496262           1.104           0.236
  496263           1.103           0.235
  496264           1.107           0.239
  496265           1.111           0.243
  496266           1.105           0.237
  496267           1.107           0.239
  496268           1.108           0.240
  496269           1.106           0.238
  496270           1.108           0.240
  496271           1.107           0.239
  496272           1.108           0.240
  496273           1.107           0.239
  496274           1.110           0.242
  496275           1.108           0.240
  496276           1.104           0.236
  496277           1.105           0.237
  496278           1.106           0.238
  496279           1.108           0.240
  496280           1.108           0.240
  496281           1.103           0.235
  496282           1.104           0.236
  496283           1.106           0.238
  496284           1.108           0.240
  496285           1.111           0.243
  496286           1.114           0.246
  496287           1.113           0.245
  496288           1.112           0.244
  496289           1.116           0.248
  496290           1.113           0.245
  496291           1.114           0.246
  496292           1.119           0.251
  496293           1.117           0.249
  496294           1.117           0.249
  496295           1.115           0.247
  496296           1.113           0.245
  496297           1.115           0.247
  496298           1.113           0.245
  496299           1.116           0.248
  496300           1.108           0.240
  496301           1.109           0.241
  496302           1.109           0.241
  496303           1.104           0.236
  496304           1.103           0.235
  496305           1.107           0.239
  496306           1.108           0.240
  496307           1.108           0.240
  496308           1.109           0.241
  496309           1.108           0.240
  496310           1.104           0.236
  496311           1.109           0.241
  496312           1.109           0.241
  496313           1.115           0.247
  496314           1.117           0.249
  496315           1.119           0.251
  496316           1.118           0.250
