Epoch   Baseline_Difference(m)   e_(m)
  497096           0.770          -0.098
  497097           0.775          -0.093
  497098           0.773          -0.095
  497099           0.769          -0.099
  497100           0.774          -0.094
  497101           0.766          -0.102
  497102           0.768          -0.100
  497103           0.756          -0.112
  497104           0.743          -0.125
  497105           0.743          -0.125
  497106           0.738          -0.130
  497107           0.737          -0.131
  497108           0.730          -0.138
  497109           0.734          -0.134
  497110           0.736          -0.132
  497111           0.731          -0.137
  497112           0.741          -0.127
  497113           0.736          -0.132
  497114           0.736          -0.132
  497115           0.733          -0.135
  497116           0.737          -0.131
  497117           0.739          -0.129
  497118           0.741          -0.127
  497119           0.738          -0.130
  497120           0.738          -0.130
  497121           0.738          -0.130
  497122           0.732          -0.136
  497123           0.736          -0.132
  497124           0.740          -0.128
  497125           0.746          -0.122
  497126           0.748          -0.120
  497127           0.752          -0.116
  497128           0.754          -0.114
  497129           0.760          -0.108
  497130           0.761          -0.107
  497131           0.758          -0.110
  497132           0.764          -0.104
  497133           0.768          -0.100
  497134           0.758          -0.110
  497135           0.748          -0.120
  497136           0.740          -0.128
  497137           0.741          -0.127
  497138           0.740          -0.128
  497139           0.741          -0.127
  497140           0.741          -0.127
  497141           0.746          -0.122
  497142           0.750          -0.118
  497143           0.744          -0.124
  497144           0.746          -0.122
  497145           0.744          -0.124
  497146           0.744          -0.124
  497147           0.747          -0.121
  497148           0.749          -0.119
  497149           0.749          -0.119
  497150           0.748          -0.120
  497151           0.746          -0.122
  497152           0.747          -0.121
  497153           0.745          -0.123
  497154           0.746          -0.122
  497155           0.753          -0.115
  497156           0.750          -0.118
  497157           0.745          -0.123
  497158           0.743          -0.125
  497159           0.747          -0.121
  497160           0.747          -0.121
  497161           0.748          -0.120
  497162           0.750          -0.118
  497163           0.750          -0.118
  497164           0.751          -0.117
  497165           0.749          -0.119
  497166           0.744          -0.124
  497167           0.746          -0.122
  497168           0.743          -0.125
  497169           0.747          -0.121
  497170           0.746          -0.122
  497171           0.748          -0.120
  497172           0.747          -0.121
  497173           0.747          -0.121
  497174           0.752          -0.116
  497175           0.753          -0.115
  497176           0.753          -0.115
  497177           0.751          -0.117
  497178           0.750          -0.118
  497179           0.751          -0.117
  497180           0.751          -0.117
  497181           0.748          -0.120
  497182           0.750          -0.118
  497183           0.748          -0.120
  497184           0.751          -0.117
  497185           0.752          -0.116
  497186           0.752          -0.116
  497187           0.752          -0.116
  497188           0.751          -0.117
  497189           0.752          -0.116
  497190           0.750          -0.118
  497191           0.750          -0.118
  497192           0.753          -0.115
  497193           0.752          -0.116
  497194           0.753          -0.115
  497195           0.756          -0.112
  497196           0.754          -0.114
  497197           0.757          -0.111
  497198           0.760          -0.108
  497199           0.758          -0.110
  497200           0.761          -0.107
  497201           0.762          -0.106
  497202           0.761          -0.107
  497203           0.764          -0.104
  497204           0.765          -0.103
  497205           0.766          -0.102
  497206           0.770          -0.098
  497207           0.769          -0.099
  497208           0.773          -0.095
  497209           0.771          -0.097
  497210           0.775          -0.093
  497211           0.781          -0.087
  497212           0.786          -0.082
  497213           0.794          -0.074
  497214           0.801          -0.067
  497215           0.803          -0.065
  497216           0.809          -0.059
  497217           0.810          -0.058
  497218           0.820          -0.048
  497219           0.828          -0.040
  497220           0.833          -0.035
  497221           0.838          -0.030
  497222           0.842          -0.026
  497223           0.841          -0.027
  497224           0.848          -0.020
  497225           0.853          -0.015
  497226           0.859          -0.009
  497227           0.865          -0.003
  497228           0.870           0.002
  497229           0.875           0.007
  497230           0.884           0.016
  497231           0.889           0.021
  497232           0.892           0.024
  497233           0.898           0.030
  497234           0.899           0.031
  497235           0.911           0.043
  497236           0.919           0.051
  497237           0.922           0.054
  497238           0.929           0.061
  497239           0.930           0.062
  497240           0.935           0.067
  497241           0.941           0.073
  497242           0.942           0.074
  497243           0.944           0.076
  497244           0.950           0.082
  497245           0.948           0.080
  497246           0.951           0.083
  497247           0.956           0.088
  497248           0.958           0.090
  497249           0.959           0.091
  497250           0.967           0.099
  497251           0.969           0.101
  497252           0.967           0.099
  497253           0.969           0.101
  497254           0.970           0.102
  497255           0.964           0.096
  497256           0.964           0.096
  497257           0.962           0.094
  497258           0.957           0.089
  497259           0.958           0.090
  497260           0.967           0.099
  497261           0.967           0.099
  497262           0.967           0.099
  497263           0.965           0.097
  497264           0.970           0.102
  497265           0.973           0.105
  497266           0.976           0.108
  497267           0.973           0.105
  497268           0.971           0.103
  497269           0.973           0.105
  497270           0.973           0.105
  497271           0.974           0.106
  497272           0.982           0.114
  497273           0.978           0.110
  497274           0.978           0.110
  497275           0.973           0.105
  497276           0.965           0.097
  497277           0.957           0.089
  497278           0.954           0.086
  497279           0.943           0.075
  497280           0.929           0.061
  497281           0.917           0.049
  497282           0.863          -0.005
  497283           0.809          -0.059
  497284           0.775          -0.093
  497285           0.754          -0.114
  497286           0.739          -0.129
  497287           0.740          -0.128
  497288           0.741          -0.127
  497289           0.749          -0.119
  497290           0.757          -0.111
  497291           0.753          -0.115
  497292           0.755          -0.113
  497293           0.753          -0.115
  497294           0.751          -0.117
  497295           0.754          -0.114
  497296           0.749          -0.119
  497297           0.753          -0.115
  497298           0.750          -0.118
  497299           0.744          -0.124
  497300           0.745          -0.123
  497301           0.748          -0.120
  497302           0.744          -0.124
  497303           0.745          -0.123
  497304           0.743          -0.125
  497305           0.748          -0.120
  497306           0.748          -0.120
  497307           0.755          -0.113
  497308           0.753          -0.115
  497309           0.758          -0.110
  497310           0.757          -0.111
  497311           0.761          -0.107
  497312           0.757          -0.111
  497313           0.757          -0.111
  497314           0.761          -0.107
  497315           0.753          -0.115
  497316           0.745          -0.123
  497317           0.749          -0.119
  497318           0.750          -0.118
  497319           0.751          -0.117
  497320           0.751          -0.117
  497321           0.752          -0.116
  497322           0.753          -0.115
  497323           0.752          -0.116
  497324           0.752          -0.116
  497325           0.753          -0.115
  497326           0.753          -0.115
  497327           0.757          -0.111
  497328           0.756          -0.112
  497329           0.757          -0.111
  497330           0.759          -0.109
  497331           0.758          -0.110
  497332           0.760          -0.108
  497333           0.766          -0.102
  497334           0.783          -0.085
  497335           0.824          -0.044
  497336           0.841          -0.027
  497337           0.840          -0.028
  497338           0.834          -0.034
  497339           0.829          -0.039
  497340           0.828          -0.040
  497341           0.830          -0.038
  497342           0.832          -0.036
  497343           0.838          -0.030
  497344           0.842          -0.026
  497345           0.856          -0.012
  497346           0.873           0.005
  497347           0.889           0.021
  497348           0.907           0.039
  497349           0.920           0.052
  497350           0.928           0.060
  497351           0.930           0.062
  497352           0.942           0.074
  497353           0.987           0.119
  497354           0.990           0.122
  497355           0.962           0.094
  497356           0.929           0.061
  497357           0.901           0.033
  497358           0.872           0.004
  497359           0.851          -0.017
  497360           0.837          -0.031
  497361           0.821          -0.047
  497362           0.804          -0.064
  497363           0.792          -0.076
  497364           0.784          -0.084
  497365           0.778          -0.090
  497366           0.777          -0.091
  497367           0.776          -0.092
  497368           0.770          -0.098
  497369           0.762          -0.106
  497370           0.760          -0.108
  497371           0.761          -0.107
  497372           0.761          -0.107
  497373           0.757          -0.111
  497374           0.757          -0.111
  497375           0.757          -0.111
  497376           0.756          -0.112
  497377           0.757          -0.111
  497378           0.758          -0.110
  497379           0.758          -0.110
  497380           0.758          -0.110
  497381           0.760          -0.108
  497382           0.760          -0.108
  497383           0.762          -0.106
  497384           0.760          -0.108
  497385           0.760          -0.108
  497386           0.762          -0.106
  497387           0.760          -0.108
  497388           0.763          -0.105
  497389           0.763          -0.105
  497390           0.762          -0.106
  497391           0.756          -0.112
  497392           0.757          -0.111
  497393           0.754          -0.114
  497394           0.753          -0.115
  497395           0.754          -0.114
  497396           0.756          -0.112
  497397           0.754          -0.114
  497398           0.754          -0.114
  497399           0.757          -0.111
  497400           0.756          -0.112
  497401           0.762          -0.106
  497402           0.768          -0.100
  497403           0.769          -0.099
  497404           0.772          -0.096
  497405           0.778          -0.090
  497406           0.780          -0.088
  497407           0.783          -0.085
  497408           0.783          -0.085
  497409           0.784          -0.084
  497410           0.780          -0.088
  497411           0.781          -0.087
  497412           0.781          -0.087
  497413           0.782          -0.086
  497414           0.780          -0.088
  497415           0.779          -0.089
  497416           0.777          -0.091
  497417           0.779          -0.089
  497418           0.779          -0.089
  497419           0.774          -0.094
  497420           0.772          -0.096
  497421           0.772          -0.096
  497422           0.773          -0.095
  497423           0.770          -0.098
  497424           0.770          -0.098
  497425           0.768          -0.100
  497426           0.769          -0.099
  497427           0.769          -0.099
  497428           0.769          -0.099
  497429           0.768          -0.100
  497430           0.758          -0.110
  497431           0.753          -0.115
  497432           0.813          -0.055
  497433           0.902           0.034
  497434           0.941           0.073
  497435           0.940           0.072
  497436           0.932           0.064
  497437           0.907           0.039
  497438           0.881           0.013
  497439           0.867          -0.001
  497440           0.847          -0.021
  497441           0.821          -0.047
  497442           0.804          -0.064
  497443           0.791          -0.077
  497444           0.793          -0.075
  497445           0.790          -0.078
  497446           0.803          -0.065
  497447           0.810          -0.058
  497448           0.821          -0.047
  497449           0.825          -0.043
  497450           0.796          -0.072
  497451           0.768          -0.100
  497452           0.773          -0.095
  497453           0.797          -0.071
  497454           0.801          -0.067
  497455           0.806          -0.062
  497456           0.805          -0.063
  497457           0.796          -0.072
  497458           0.783          -0.085
  497459           0.778          -0.090
  497460           0.770          -0.098
  497461           0.770          -0.098
  497462           0.770          -0.098
  497463           0.771          -0.097
  497464           0.773          -0.095
  497465           0.772          -0.096
  497466           0.773          -0.095
  497467           0.779          -0.089
  497468           0.781          -0.087
  497469           0.778          -0.090
  497470           0.778          -0.090
  497471           0.780          -0.088
  497472           0.780          -0.088
  497473           0.781          -0.087
  497474           0.779          -0.089
  497475           0.780          -0.088
  497476           0.781          -0.087
  497477           0.780          -0.088
  497478           0.781          -0.087
  497479           0.782          -0.086
  497480           0.781          -0.087
  497481           0.780          -0.088
  497482           0.780          -0.088
  497483           0.779          -0.089
  497484           0.781          -0.087
  497485           0.781          -0.087
  497486           0.783          -0.085
  497487           0.785          -0.083
  497488           0.785          -0.083
  497489           0.786          -0.082
  497490           0.784          -0.084
  497491           0.785          -0.083
  497492           0.785          -0.083
  497493           0.780          -0.088
  497494           0.783          -0.085
  497495           0.783          -0.085
  497496           0.785          -0.083
  497497           0.784          -0.084
  497498           0.784          -0.084
  497499           0.789          -0.079
  497500           0.791          -0.077
  497501           0.792          -0.076
  497502           0.790          -0.078
  497503           0.791          -0.077
  497504           0.791          -0.077
  497505           0.788          -0.080
  497506           0.786          -0.082
  497507           0.773          -0.095
  497508           0.764          -0.104
  497509           0.781          -0.087
  497510           0.835          -0.033
  497511           0.902           0.034
  497512           0.928           0.060
  497513           0.919           0.051
  497514           0.895           0.027
  497515           0.873           0.005
  497516           0.858          -0.010
  497517           0.837          -0.031
  497518           0.847          -0.021
  497519           0.898           0.030
  497520           0.945           0.077
  497521           0.957           0.089
  497522           0.962           0.094
  497523           0.965           0.097
  497524           0.962           0.094
  497525           0.956           0.088
  497526           0.956           0.088
  497527           0.948           0.080
  497528           0.943           0.075
  497529           0.946           0.078
  497530           0.944           0.076
  497531           0.947           0.079
  497532           0.947           0.079
  497533           0.946           0.078
  497534           0.946           0.078
  497535           0.945           0.077
  497536           0.948           0.080
  497537           0.947           0.079
  497538           0.951           0.083
  497539           0.949           0.081
  497540           0.953           0.085
  497541           0.954           0.086
  497542           0.949           0.081
  497543           0.948           0.080
  497544           0.946           0.078
  497545           0.948           0.080
  497546           0.949           0.081
  497547           0.947           0.079
  497548           0.947           0.079
  497549           0.943           0.075
  497550           0.946           0.078
  497551           0.947           0.079
  497552           0.946           0.078
  497553           0.948           0.080
  497554           0.952           0.084
  497555           0.952           0.084
  497556           0.950           0.082
  497557           0.950           0.082
  497558           0.948           0.080
  497559           0.951           0.083
  497560           0.951           0.083
  497561           0.953           0.085
  497562           0.954           0.086
  497563           0.952           0.084
  497564           0.929           0.061
  497565           0.881           0.013
  497566           0.824          -0.044
  497567           0.779          -0.089
  497568           0.793          -0.075
  497569           0.793          -0.075
  497570           0.791          -0.077
  497571           0.783          -0.085
  497572           0.769          -0.099
  497573           0.769          -0.099
  497574           0.764          -0.104
  497575           0.772          -0.096
  497576           0.778          -0.090
  497577           0.779          -0.089
  497578           0.782          -0.086
  497579           0.796          -0.072
  497580           0.802          -0.066
  497581           0.808          -0.060
  497582           0.800          -0.068
  497583           0.796          -0.072
  497584           0.793          -0.075
  497585           0.792          -0.076
  497586           0.790          -0.078
  497587           0.791          -0.077
  497588           0.788          -0.080
  497589           0.793          -0.075
  497590           0.793          -0.075
  497591           0.798          -0.070
  497592           0.795          -0.073
  497593           0.793          -0.075
  497594           0.796          -0.072
  497595           0.794          -0.074
  497596           0.795          -0.073
  497597           0.795          -0.073
  497598           0.797          -0.071
  497599           0.793          -0.075
  497600           0.796          -0.072
  497601           0.795          -0.073
  497602           0.796          -0.072
  497603           0.795          -0.073
  497604           0.795          -0.073
  497605           0.795          -0.073
  497606           0.799          -0.069
  497607           0.796          -0.072
  497608           0.794          -0.074
  497609           0.796          -0.072
  497610           0.794          -0.074
  497611           0.795          -0.073
  497612           0.796          -0.072
  497613           0.797          -0.071
  497614           0.794          -0.074
  497615           0.795          -0.073
  497616           0.794          -0.074
  497617           0.797          -0.071
  497618           0.799          -0.069
  497619           0.799          -0.069
  497620           0.798          -0.070
  497621           0.796          -0.072
  497622           0.797          -0.071
  497623           0.797          -0.071
  497624           0.797          -0.071
  497625           0.800          -0.068
  497626           0.798          -0.070
  497627           0.798          -0.070
  497628           0.802          -0.066
  497629           0.794          -0.074
  497630           0.797          -0.071
  497631           0.798          -0.070
  497632           0.799          -0.069
  497633           0.801          -0.067
  497634           0.800          -0.068
  497635           0.801          -0.067
  497636           0.787          -0.081
  497637           0.771          -0.097
  497638           0.785          -0.083
  497639           0.825          -0.043
  497640           0.887           0.019
  497641           0.915           0.047
  497642           0.920           0.052
  497643           0.894           0.026
  497644           0.869           0.001
  497645           0.854          -0.014
  497646           0.843          -0.025
  497647           0.833          -0.035
  497648           0.861          -0.007
  497649           0.917           0.049
  497650           0.950           0.082
  497651           0.959           0.091
  497652           0.964           0.096
  497653           0.968           0.100
  497654           0.962           0.094
  497655           0.956           0.088
  497656           0.950           0.082
  497657           0.946           0.078
  497658           0.938           0.070
  497659           0.934           0.066
  497660           0.935           0.067
  497661           0.937           0.069
  497662           0.935           0.067
  497663           0.937           0.069
  497664           0.936           0.068
  497665           0.939           0.071
  497666           0.940           0.072
  497667           0.939           0.071
  497668           0.940           0.072
  497669           0.938           0.070
  497670           0.937           0.069
  497671           0.938           0.070
  497672           0.941           0.073
  497673           0.936           0.068
  497674           0.941           0.073
  497675           0.935           0.067
  497676           0.934           0.066
  497677           0.941           0.073
  497678           0.938           0.070
  497679           0.941           0.073
  497680           0.939           0.071
  497681           0.942           0.074
  497682           0.941           0.073
  497683           0.942           0.074
  497684           0.941           0.073
  497685           0.946           0.078
  497686           0.946           0.078
  497687           0.940           0.072
  497688           0.940           0.072
  497689           0.944           0.076
  497690           0.938           0.070
  497691           0.943           0.075
  497692           0.945           0.077
  497693           0.939           0.071
  497694           0.893           0.025
  497695           0.851          -0.017
  497696           0.800          -0.068
  497697           0.784          -0.084
  497698           0.808          -0.060
  497699           0.809          -0.059
  497700           0.798          -0.070
  497701           0.788          -0.080
  497702           0.782          -0.086
  497703           0.781          -0.087
  497704           0.780          -0.088
  497705           0.784          -0.084
  497706           0.788          -0.080
  497707           0.790          -0.078
  497708           0.786          -0.082
  497709           0.783          -0.085
  497710           0.788          -0.080
  497711           0.797          -0.071
  497712           0.808          -0.060
  497713           0.811          -0.057
  497714           0.813          -0.055
  497715           0.815          -0.053
  497716           0.813          -0.055
  497717           0.816          -0.052
  497718           0.810          -0.058
  497719           0.806          -0.062
  497720           0.806          -0.062
  497721           0.805          -0.063
  497722           0.804          -0.064
  497723           0.802          -0.066
  497724           0.803          -0.065
  497725           0.804          -0.064
  497726           0.804          -0.064
  497727           0.802          -0.066
  497728           0.800          -0.068
  497729           0.803          -0.065
  497730           0.805          -0.063
  497731           0.804          -0.064
  497732           0.802          -0.066
  497733           0.807          -0.061
  497734           0.805          -0.063
  497735           0.805          -0.063
  497736           0.801          -0.067
  497737           0.799          -0.069
  497738           0.800          -0.068
  497739           0.800          -0.068
  497740           0.803          -0.065
  497741           0.803          -0.065
  497742           0.802          -0.066
  497743           0.802          -0.066
  497744           0.807          -0.061
  497745           0.806          -0.062
  497746           0.803          -0.065
  497747           0.799          -0.069
  497748           0.802          -0.066
  497749           0.800          -0.068
  497750           0.800          -0.068
  497751           0.802          -0.066
  497752           0.801          -0.067
  497753           0.801          -0.067
  497754           0.806          -0.062
  497755           0.806          -0.062
  497756           0.806          -0.062
  497757           0.805          -0.063
  497758           0.804          -0.064
  497759           0.806          -0.062
  497760           0.803          -0.065
  497761           0.804          -0.064
  497762           0.806          -0.062
  497763           0.803          -0.065
  497764           0.804          -0.064
  497765           0.807          -0.061
  497766           0.786          -0.082
  497767           0.779          -0.089
  497768           0.790          -0.078
  497769           0.836          -0.032
  497770           0.897           0.029
  497771           0.917           0.049
  497772           0.913           0.045
  497773           0.889           0.021
  497774           0.869           0.001
  497775           0.860          -0.008
  497776           0.848          -0.020
  497777           0.840          -0.028
  497778           0.873           0.005
  497779           0.921           0.053
  497780           0.946           0.078
  497781           0.950           0.082
  497782           0.960           0.092
  497783           0.965           0.097
  497784           0.959           0.091
  497785           0.952           0.084
  497786           0.946           0.078
  497787           0.940           0.072
  497788           0.934           0.066
  497789           0.932           0.064
  497790           0.932           0.064
  497791           0.931           0.063
  497792           0.932           0.064
  497793           0.931           0.063
  497794           0.931           0.063
  497795           0.933           0.065
  497796           0.935           0.067
  497797           0.940           0.072
  497798           0.941           0.073
  497799           0.939           0.071
  497800           0.937           0.069
  497801           0.936           0.068
  497802           0.941           0.073
  497803           0.954           0.086
  497804           0.957           0.089
  497805           0.918           0.050
  497806           0.872           0.004
  497807           0.857          -0.011
  497808           0.856          -0.012
  497809           0.855          -0.013
  497810           0.868           0.000
  497811           0.879           0.011
  497812           0.881           0.013
  497813           0.890           0.022
  497814           0.902           0.034
  497815           0.904           0.036
  497816           0.908           0.040
  497817           0.909           0.041
  497818           0.914           0.046
  497819           0.914           0.046
  497820           0.912           0.044
  497821           0.913           0.045
  497822           0.912           0.044
  497823           0.910           0.042
  497824           0.911           0.043
  497825           0.909           0.041
  497826           0.911           0.043
  497827           0.912           0.044
  497828           0.908           0.040
  497829           0.903           0.035
  497830           0.908           0.040
  497831           0.911           0.043
  497832           0.906           0.038
  497833           0.907           0.039
  497834           0.910           0.042
  497835           0.907           0.039
  497836           0.913           0.045
  497837           0.916           0.048
  497838           0.916           0.048
  497839           0.910           0.042
  497840           0.914           0.046
  497841           0.911           0.043
  497842           0.911           0.043
  497843           0.908           0.040
  497844           0.927           0.059
  497845           0.955           0.087
  497846           0.969           0.101
  497847           0.951           0.083
  497848           0.907           0.039
  497849           0.881           0.013
  497850           0.885           0.017
  497851           0.886           0.018
  497852           0.880           0.012
  497853           0.872           0.004
  497854           0.864          -0.004
  497855           0.868          -0.000
  497856           0.874           0.006
  497857           0.867          -0.001
  497858           0.863          -0.005
  497859           0.863          -0.005
  497860           0.872           0.004
  497861           0.893           0.025
  497862           0.904           0.036
  497863           0.907           0.039
  497864           0.893           0.025
  497865           0.869           0.001
  497866           0.848          -0.020
  497867           0.813          -0.055
  497868           0.789          -0.079
  497869           0.769          -0.099
  497870           0.790          -0.078
  497871           0.816          -0.052
  497872           0.817          -0.051
  497873           0.792          -0.076
  497874           0.791          -0.077
  497875           0.792          -0.076
  497876           0.790          -0.078
  497877           0.787          -0.081
  497878           0.792          -0.076
  497879           0.790          -0.078
  497880           0.791          -0.077
  497881           0.788          -0.080
  497882           0.789          -0.079
  497883           0.786          -0.082
  497884           0.785          -0.083
  497885           0.790          -0.078
  497886           0.792          -0.076
  497887           0.792          -0.076
  497888           0.791          -0.077
  497889           0.790          -0.078
  497890           0.790          -0.078
  497891           0.791          -0.077
  497892           0.788          -0.080
  497893           0.789          -0.079
  497894           0.789          -0.079
  497895           0.790          -0.078
  497896           0.785          -0.083
  497897           0.799          -0.069
  497898           0.836          -0.032
  497899           0.873           0.005
  497900           0.871           0.003
  497901           0.857          -0.011
  497902           0.847          -0.021
  497903           0.844          -0.024
  497904           0.846          -0.022
  497905           0.850          -0.018
  497906           0.853          -0.015
  497907           0.855          -0.013
  497908           0.849          -0.019
  497909           0.845          -0.023
  497910           0.846          -0.022
  497911           0.847          -0.021
  497912           0.847          -0.021
  497913           0.846          -0.022
  497914           0.846          -0.022
  497915           0.846          -0.022
  497916           0.841          -0.027
  497917           0.845          -0.023
  497918           0.845          -0.023
  497919           0.845          -0.023
  497920           0.840          -0.028
  497921           0.843          -0.025
  497922           0.845          -0.023
  497923           0.845          -0.023
  497924           0.835          -0.033
  497925           0.800          -0.068
  497926           0.776          -0.092
  497927           0.803          -0.065
  497928           0.793          -0.075
  497929           0.779          -0.089
  497930           0.779          -0.089
  497931           0.784          -0.084
  497932           0.790          -0.078
  497933           0.791          -0.077
  497934           0.794          -0.074
  497935           0.790          -0.078
  497936           0.791          -0.077
  497937           0.788          -0.080
  497938           0.786          -0.082
  497939           0.785          -0.083
  497940           0.785          -0.083
  497941           0.789          -0.079
  497942           0.830          -0.038
  497943           0.862          -0.006
  497944           0.867          -0.001
  497945           0.833          -0.035
  497946           0.800          -0.068
  497947           0.797          -0.071
  497948           0.811          -0.057
  497949           0.844          -0.024
  497950           0.859          -0.009
  497951           0.844          -0.024
  497952           0.824          -0.044
  497953           0.809          -0.059
  497954           0.819          -0.049
  497955           0.830          -0.038
  497956           0.838          -0.030
  497957           0.840          -0.028
  497958           0.835          -0.033
  497959           0.831          -0.037
  497960           0.826          -0.042
  497961           0.827          -0.041
  497962           0.826          -0.042
  497963           0.824          -0.044
  497964           0.825          -0.043
  497965           0.824          -0.044
  497966           0.828          -0.040
  497967           0.827          -0.041
  497968           0.823          -0.045
  497969           0.820          -0.048
  497970           0.823          -0.045
  497971           0.843          -0.025
  497972           0.906           0.038
  497973           0.947           0.079
  497974           0.950           0.082
  497975           0.930           0.062
  497976           0.884           0.016
  497977           0.855          -0.013
  497978           0.848          -0.020
  497979           0.861          -0.007
  497980           0.879           0.011
  497981           0.900           0.032
  497982           0.925           0.057
  497983           0.947           0.079
  497984           0.946           0.078
  497985           0.928           0.060
  497986           0.913           0.045
  497987           0.888           0.020
  497988           0.906           0.038
  497989           0.922           0.054
  497990           0.931           0.063
  497991           0.928           0.060
  497992           0.927           0.059
  497993           0.919           0.051
  497994           0.923           0.055
  497995           0.924           0.056
  497996           0.923           0.055
  497997           0.927           0.059
  497998           0.930           0.062
  497999           0.930           0.062
  498000           0.928           0.060
  498001           0.931           0.063
  498002           0.933           0.065
  498003           0.931           0.063
  498004           0.929           0.061
  498005           0.929           0.061
  498006           0.930           0.062
  498007           0.931           0.063
  498008           0.936           0.068
  498009           0.935           0.067
  498010           0.936           0.068
  498011           0.934           0.066
  498012           0.936           0.068
  498013           0.937           0.069
  498014           0.900           0.032
  498015           0.836          -0.032
  498016           0.827          -0.041
  498017           0.848          -0.020
  498018           0.880           0.012
  498019           0.893           0.025
  498020           0.871           0.003
  498021           0.836          -0.032
  498022           0.821          -0.047
  498023           0.824          -0.044
  498024           0.847          -0.021
  498025           0.882           0.014
  498026           0.887           0.019
  498027           0.871           0.003
  498028           0.857          -0.011
  498029           0.851          -0.017
  498030           0.858          -0.010
  498031           0.877           0.009
  498032           0.920           0.052
  498033           0.931           0.063
  498034           0.918           0.050
  498035           0.887           0.019
  498036           0.868          -0.000
  498037           0.884           0.016
  498038           0.915           0.047
  498039           0.931           0.063
  498040           0.920           0.052
  498041           0.896           0.028
  498042           0.873           0.005
  498043           0.880           0.012
  498044           0.897           0.029
  498045           0.907           0.039
  498046           0.905           0.037
  498047           0.893           0.025
  498048           0.892           0.024
  498049           0.887           0.019
  498050           0.889           0.021
  498051           0.891           0.023
  498052           0.897           0.029
  498053           0.900           0.032
  498054           0.897           0.029
  498055           0.897           0.029
  498056           0.894           0.026
  498057           0.893           0.025
  498058           0.889           0.021
  498059           0.887           0.019
  498060           0.890           0.022
  498061           0.898           0.030
  498062           0.909           0.041
  498063           0.918           0.050
  498064           0.926           0.058
  498065           0.927           0.059
  498066           0.927           0.059
  498067           0.925           0.057
  498068           0.920           0.052
  498069           0.919           0.051
  498070           0.919           0.051
  498071           0.917           0.049
  498072           0.916           0.048
  498073           0.916           0.048
  498074           0.919           0.051
  498075           0.921           0.053
  498076           0.920           0.052
  498077           0.923           0.055
  498078           0.923           0.055
  498079           0.922           0.054
  498080           0.922           0.054
  498081           0.926           0.058
  498082           0.925           0.057
  498083           0.929           0.061
  498084           0.928           0.060
  498085           0.931           0.063
  498086           0.927           0.059
  498087           0.926           0.058
  498088           0.925           0.057
  498089           0.927           0.059
  498090           0.923           0.055
  498091           0.925           0.057
  498092           0.929           0.061
  498093           0.929           0.061
  498094           0.929           0.061
  498095           0.931           0.063
  498096           0.930           0.062
  498097           0.929           0.061
  498098           0.927           0.059
  498099           0.927           0.059
  498100           0.929           0.061
  498101           0.929           0.061
  498102           0.929           0.061
  498103           0.929           0.061
  498104           0.931           0.063
  498105           0.933           0.065
  498106           0.932           0.064
  498107           0.930           0.062
  498108           0.929           0.061
  498109           0.920           0.052
  498110           0.912           0.044
  498111           0.910           0.042
  498112           0.911           0.043
  498113           0.913           0.045
  498114           0.916           0.048
  498115           0.922           0.054
  498116           0.926           0.058
  498117           0.932           0.064
  498118           0.930           0.062
  498119           0.931           0.063
  498120           0.927           0.059
  498121           0.929           0.061
  498122           0.928           0.060
  498123           0.928           0.060
  498124           0.928           0.060
  498125           0.929           0.061
  498126           0.930           0.062
  498127           0.934           0.066
  498128           0.934           0.066
  498129           0.940           0.072
  498130           0.946           0.078
  498131           0.949           0.081
  498132           0.948           0.080
  498133           0.946           0.078
  498134           0.942           0.074
  498135           0.941           0.073
  498136           0.937           0.069
  498137           0.935           0.067
  498138           0.931           0.063
  498139           0.933           0.065
  498140           0.931           0.063
  498141           0.930           0.062
  498142           0.933           0.065
  498143           0.931           0.063
  498144           0.930           0.062
  498145           0.931           0.063
  498146           0.933           0.065
  498147           0.930           0.062
  498148           0.931           0.063
  498149           0.931           0.063
  498150           0.931           0.063
  498151           0.931           0.063
  498152           0.927           0.059
  498153           0.926           0.058
  498154           0.919           0.051
  498155           0.913           0.045
  498156           0.908           0.040
  498157           0.906           0.038
  498158           0.907           0.039
  498159           0.911           0.043
  498160           0.916           0.048
  498161           0.922           0.054
  498162           0.931           0.063
  498163           0.934           0.066
  498164           0.936           0.068
  498165           0.933           0.065
  498166           0.931           0.063
  498167           0.927           0.059
