Epoch   v_north   v_east   v_up
  496043           0.022           0.002           0.023
  496044           0.009          -0.014          -0.045
  496045           0.017          -0.023          -0.066
  496046           0.001          -0.005          -0.018
  496047          -0.013           0.012           0.007
  496048          -0.020           0.004          -0.004
  496049           0.002           0.010          -0.029
  496050           0.007           0.015           0.002
  496051           0.004          -0.006          -0.037
  496052          -0.005           0.009           0.005
  496053          -0.013          -0.006          -0.015
  496054          -0.016          -0.005          -0.013
  496055          -0.011           0.001          -0.020
  496056           0.007           0.008          -0.004
  496057          -0.002           0.004          -0.036
  496058           0.003           0.002          -0.014
  496059           0.000           0.007          -0.013
  496060           0.003          -0.008          -0.015
  496061          -0.002           0.000          -0.013
  496062          -0.003           0.006          -0.014
  496063           0.007          -0.001          -0.018
  496064          -0.009           0.003          -0.002
  496065          -0.010          -0.002          -0.001
  496066          -0.015           0.007          -0.002
  496067          -0.003           0.003          -0.016
  496068          -0.014           0.018           0.007
  496069          -0.006           0.008           0.001
  496070           0.009           0.001          -0.016
  496071          -0.002           0.001           0.002
  496072          -0.001           0.003          -0.002
  496073          -0.005          -0.005          -0.031
  496074          -0.002          -0.006          -0.023
  496075           0.006          -0.001          -0.002
  496076           0.011           0.001          -0.024
  496077           0.003          -0.007          -0.024
  496078          -0.007           0.007           0.004
  496079          -0.037           0.005           0.018
  496080          -0.005           0.004          -0.025
  496081           0.003           0.012           0.001
  496082          -0.005           0.011          -0.002
  496083          -0.007          -0.002           0.001
  496084          -0.006          -0.003          -0.006
  496085           0.007          -0.007          -0.029
  496086          -0.016          -0.005          -0.022
  496087          -0.009           0.005          -0.020
  496088          -0.005           0.004          -0.018
  496089           0.004          -0.010          -0.029
  496090          -0.006          -0.001          -0.013
  496091          -0.001           0.001           0.000
  496092           0.015          -0.003          -0.019
  496093           0.024          -0.005          -0.035
  496094           0.008           0.003          -0.028
  496095          -0.018          -0.009          -0.022
  496096           0.001          -0.001          -0.012
  496097          -0.001          -0.005          -0.021
  496098           0.005           0.000          -0.014
  496099           0.006           0.007          -0.008
  496100          -0.006           0.002          -0.016
  496101          -0.005           0.001           0.003
  496102          -0.000          -0.010          -0.016
  496103          -0.005          -0.008          -0.012
  496104          -0.018          -0.007          -0.011
  496105          -0.008           0.013           0.001
  496106           0.005          -0.001          -0.017
  496107           0.011          -0.005          -0.022
  496108           0.010           0.007           0.011
  496109           0.001          -0.002          -0.021
  496110           0.000          -0.007           0.000
  496111          -0.006          -0.006          -0.008
  496112           0.008          -0.001          -0.010
  496113           0.016          -0.001          -0.015
  496114           0.010           0.003          -0.015
  496115           0.013          -0.003          -0.013
  496116           0.011          -0.007          -0.025
  496117           0.006          -0.007          -0.018
  496118           0.016          -0.014          -0.024
  496119           0.004          -0.010          -0.023
  496120           0.009           0.005          -0.001
  496121           0.003           0.003          -0.005
  496122           0.007          -0.006          -0.023
  496123           0.009          -0.011          -0.018
  496124           0.002           0.003          -0.007
  496125           0.006           0.000          -0.008
  496126           0.008           0.004          -0.015
  496127           0.007          -0.002          -0.030
  496128           0.002           0.007          -0.015
  496129           0.005           0.006          -0.013
  496130          -0.000           0.006           0.007
  496131           0.008          -0.011          -0.025
  496132           0.005          -0.002          -0.001
  496133           0.003          -0.002          -0.009
  496134          -0.003           0.014           0.012
  496135          -0.002           0.011           0.013
  496136           0.001           0.004          -0.020
  496137           0.000           0.001           0.003
