Epoch   v_north   v_east   v_up
  496225           0.010          -0.002          -0.017
  496226          -0.001           0.008          -0.002
  496227           0.002           0.009          -0.005
  496228           0.009          -0.004          -0.033
  496229           0.001          -0.008          -0.011
  496230           0.002          -0.014          -0.012
  496231          -0.006          -0.013          -0.011
  496232          -0.004          -0.012          -0.014
  496233          -0.006          -0.004          -0.012
  496234          -0.014          -0.003          -0.011
  496235          -0.008           0.000          -0.018
  496236           0.006          -0.001          -0.027
  496237          -0.009           0.005          -0.013
  496238          -0.020           0.011           0.030
  496239          -0.004           0.002           0.004
  496240           0.000          -0.019          -0.030
  496241           0.013          -0.002          -0.005
  496242           0.014          -0.008          -0.015
  496243           0.008           0.000           0.000
  496244          -0.006          -0.008          -0.024
  496245          -0.013          -0.010          -0.006
  496246          -0.010          -0.016          -0.024
  496247           0.001          -0.005          -0.014
  496248           0.006           0.006          -0.001
  496249           0.000          -0.007          -0.020
  496250          -0.009          -0.005          -0.006
  496251           0.006          -0.011          -0.021
  496252           0.003          -0.012          -0.012
  496253           0.011          -0.009          -0.010
  496254          -0.003          -0.006          -0.003
  496255          -0.010          -0.022          -0.020
  496256          -0.013          -0.022          -0.016
  496257           0.003          -0.018          -0.012
  496258           0.013          -0.013          -0.015
  496259           0.007          -0.013           0.002
  496260           0.000          -0.002          -0.003
  496261          -0.007          -0.003          -0.006
  496262          -0.013           0.003           0.004
  496263          -0.012           0.001          -0.001
  496264          -0.008          -0.012          -0.011
  496265          -0.013          -0.014          -0.007
  496266           0.004          -0.016          -0.019
  496267           0.009          -0.016          -0.010
  496268           0.012          -0.010          -0.007
  496269           0.009          -0.016          -0.026
  496270           0.006          -0.015          -0.024
  496271          -0.003          -0.002           0.003
  496272           0.001           0.000          -0.002
  496273           0.007           0.004          -0.004
  496274           0.007          -0.005          -0.012
  496275           0.004           0.001           0.004
  496276           0.013          -0.017          -0.033
  496277           0.014          -0.015          -0.039
  496278           0.002          -0.015          -0.023
  496279          -0.008          -0.015          -0.009
  496280          -0.008           0.001           0.006
  496281          -0.001          -0.006           0.001
  496282          -0.001          -0.012          -0.026
  496283           0.000          -0.011          -0.019
  496284           0.003          -0.014          -0.018
  496285          -0.006          -0.011          -0.016
  496286          -0.008          -0.002           0.003
  496287          -0.008          -0.002           0.004
  496288           0.001          -0.013          -0.016
  496289           0.006           0.008           0.006
  496290          -0.007           0.009           0.022
  496291          -0.013           0.005           0.013
  496292          -0.002          -0.007           0.009
  496293          -0.001           0.002           0.018
  496294           0.008          -0.031          -0.030
  496295          -0.003          -0.003          -0.006
  496296           0.006          -0.005          -0.008
  496297          -0.007          -0.003          -0.008
  496298          -0.001          -0.005          -0.008
