Epoch   v_north   v_east   v_up
  495695           0.001          -0.009          -0.006
  495696          -0.003           0.003           0.015
  495697           0.007           0.002          -0.009
  495698          -0.006          -0.002           0.011
  495699           0.001          -0.002           0.002
  495700           0.001          -0.001          -0.003
  495701           0.001           0.001           0.004
  495702          -0.004           0.001          -0.004
  495703           0.003          -0.002          -0.002
  495704          -0.001           0.002           0.006
  495705          -0.002          -0.003          -0.009
  495706           0.002          -0.004          -0.015
  495707          -0.004          -0.001          -0.002
  495708           0.002           0.007           0.012
  495709           0.004          -0.001          -0.000
  495710           0.002          -0.000           0.006
  495711           0.006          -0.007          -0.015
  495712          -0.001           0.002          -0.001
  495713          -0.002           0.002           0.000
  495714           0.004           0.002          -0.000
  495715          -0.005          -0.000          -0.001
  495716          -0.002           0.001          -0.002
  495717           0.000          -0.004          -0.011
  495718          -0.004          -0.002           0.008
  495719          -0.002           0.006           0.005
  495720          -0.002          -0.001          -0.011
  495721           0.003           0.006           0.007
  495722          -0.004           0.008           0.002
  495723           0.026          -0.007           0.020
  495724           0.026          -0.001          -0.006
  495725          -0.017          -0.013          -0.020
  495726          -0.029           0.024           0.004
  495727          -0.000          -0.002           0.006
  495728           0.010          -0.008          -0.024
  495729           0.003           0.008           0.007
  495730          -0.013           0.004           0.015
  495731          -0.009          -0.019           0.002
  495732           0.006           0.001          -0.011
  495733           0.004           0.014           0.006
  495734           0.009           0.003           0.004
  495735          -0.017           0.004          -0.025
  495736           0.009           0.002           0.002
  495737          -0.008           0.003          -0.004
  495738           0.048           0.011          -0.050
  495739          -0.043          -0.019           0.055
  495740           0.009           0.002          -0.007
  495741           0.001          -0.004          -0.003
  495742          -0.005           0.002           0.008
  495743           0.003          -0.003          -0.013
  495744           0.003           0.002           0.005
  495745           0.010           0.004          -0.000
  495746           0.002          -0.002          -0.010
  495747           0.010          -0.002          -0.042
  495748          -0.001           0.008           0.012
  495749          -0.026          -0.023           0.077
  495750           0.007           0.012          -0.012
  495751          -0.009           0.005           0.007
  495752          -0.004           0.004           0.003
  495753           0.003          -0.002          -0.007
  495754          -0.001           0.001          -0.004
  495755           0.000           0.002           0.004
  495756          -0.001           0.003          -0.001
  495757           0.002           0.003          -0.000
  495758           0.003          -0.000          -0.001
  495759          -0.001           0.006           0.008
  495760          -0.001          -0.000          -0.003
  495761           0.001           0.002           0.003
  495762          -0.003           0.002           0.006
  495763           0.007          -0.000           0.004
  495764           0.001          -0.002           0.000
  495765          -0.005          -0.001          -0.007
  495766           0.006          -0.002          -0.008
  495767          -0.001           0.000           0.000
  495768          -0.002           0.004           0.006
  495769           0.001          -0.001          -0.010
  495770          -0.001          -0.003          -0.009
  495771           0.005          -0.001           0.003
  495772          -0.006          -0.000           0.001
  495773           0.006          -0.003           0.002
  495774           0.002           0.007           0.008
  495775          -0.001           0.005           0.005
  495776          -0.001          -0.004          -0.016
  495777           0.004          -0.001          -0.009
  495778          -0.003          -0.005          -0.007
  495779          -0.002           0.005           0.009
  495780           0.003          -0.001          -0.006
  495781           0.004           0.002          -0.005
  495782           0.006           0.008          -0.005
  495783           0.022           0.008          -0.021
  495784           0.036           0.017          -0.080
  495785          -0.015          -0.026           0.032
  495786          -0.002          -0.010          -0.003
  495787          -0.067          -0.039           0.093
  495788           0.007           0.004          -0.003
  495789          -0.001           0.000           0.006
  495790          -0.002          -0.001          -0.009
  495791           0.002          -0.003          -0.004
  495792          -0.003           0.004          -0.000
  495793           0.007           0.003           0.006
  495794          -0.015          -0.002           0.019
  495795          -0.006           0.003          -0.003
  495796           0.007          -0.001          -0.016
  495797           0.001          -0.001           0.013
  495798           0.002           0.001          -0.005
  495799          -0.003           0.004           0.013
  495800           0.002          -0.001          -0.007
  495801          -0.001           0.002           0.002
  495802           0.002          -0.003          -0.004
  495803          -0.003          -0.001          -0.003
  495804           0.002          -0.001          -0.001
  495805          -0.003          -0.001          -0.009
  495806           0.000           0.002           0.009
  495807           0.003           0.003           0.009
