Epoch   v_north   v_east   v_up
  496225          -0.009           0.008           0.020
  496226           0.002          -0.007           0.005
  496227          -0.003          -0.012          -0.003
  496228          -0.014           0.004           0.045
  496229          -0.001           0.006           0.000
  496230           0.006           0.013           0.006
  496231           0.005           0.012           0.015
  496232           0.001           0.011           0.009
  496233           0.003           0.000           0.000
  496234           0.010           0.009           0.020
  496235           0.012          -0.005           0.008
  496236          -0.008           0.004           0.032
  496237           0.010          -0.007           0.006
  496238           0.023          -0.013          -0.037
  496239           0.000           0.005           0.008
  496240          -0.002           0.017           0.026
  496241          -0.011           0.001           0.003
  496242          -0.017           0.008           0.014
  496243          -0.007           0.003           0.005
  496244           0.012           0.002           0.012
  496245           0.015           0.011           0.008
  496246           0.008           0.015           0.029
  496247          -0.005           0.006           0.015
  496248          -0.005          -0.007           0.000
  496249           0.001           0.006           0.014
  496250           0.007           0.005           0.009
  496251          -0.003           0.012           0.015
  496252           0.001           0.011           0.003
  496253          -0.013           0.003          -0.006
  496254           0.003           0.004           0.001
  496255           0.007           0.027           0.039
  496256           0.017           0.022           0.011
  496257          -0.003           0.016           0.006
  496258          -0.015           0.012           0.013
  496259          -0.008           0.016           0.000
  496260           0.006          -0.003          -0.016
  496261           0.002           0.009           0.025
  496262           0.009          -0.005          -0.004
  496263           0.017          -0.006          -0.011
  496264           0.008           0.010           0.005
  496265           0.014           0.017           0.007
  496266          -0.008           0.019           0.032
  496267          -0.013           0.018           0.013
  496268          -0.007           0.006          -0.004
  496269          -0.013           0.017           0.024
  496270          -0.008           0.015           0.020
  496271           0.004           0.008           0.017
  496272          -0.004           0.004           0.014
  496273          -0.009          -0.002           0.003
  496274          -0.001           0.002          -0.001
  496275          -0.003          -0.004          -0.002
  496276          -0.015           0.016           0.040
  496277          -0.015           0.022           0.055
  496278           0.000           0.011           0.012
  496279           0.009           0.022           0.030
  496280           0.012          -0.005          -0.019
  496281          -0.001           0.001          -0.006
  496282           0.001           0.012           0.025
  496283           0.005           0.007           0.006
  496284          -0.001           0.015           0.011
  496285           0.005           0.015           0.020
  496286           0.005           0.000          -0.003
  496287           0.011          -0.001          -0.015
  496288          -0.001           0.013           0.018
  496289          -0.006          -0.003           0.005
  496290           0.008          -0.008          -0.014
  496291           0.014          -0.009          -0.025
  496292           0.009          -0.005          -0.044
  496293           0.000           0.003          -0.011
  496294          -0.005           0.025           0.022
  496295          -0.002          -0.001           0.001
  496296          -0.004           0.002           0.005
  496297           0.008           0.001           0.005
  496298          -0.003           0.011           0.024
  496299           0.006          -0.002          -0.014
  496300          -0.019           0.005           0.030
  496301          -0.005           0.008           0.015
  496302          -0.001           0.002           0.012
  496303           0.007           0.000           0.003
  496304           0.002           0.005           0.024
  496305           0.002           0.007           0.001
  496306           0.000          -0.002           0.000
  496307          -0.002           0.001           0.011
  496308           0.005          -0.001           0.006
