Epoch   v_north   v_east   v_up
  495885           0.004          -0.001          -0.004
  495886          -0.005           0.001           0.003
  495887           0.002          -0.003           0.003
  495888          -0.001           0.001          -0.005
  495889           0.003          -0.005          -0.011
  495890           0.000           0.001           0.003
  495891          -0.004           0.004           0.016
  495892           0.002           0.001           0.003
  495893          -0.002          -0.001          -0.000
  495894           0.001           0.001           0.004
  495895          -0.004           0.005           0.007
  495896          -0.002          -0.001          -0.004
  495897          -0.001          -0.002          -0.005
  495898           0.006           0.000          -0.008
  495899          -0.004           0.004           0.021
  495900          -0.003          -0.001          -0.002
  495901           0.001           0.001          -0.002
  495902           0.002           0.001           0.006
  495903           0.003          -0.002          -0.002
  495904          -0.002          -0.000          -0.001
  495905           0.002           0.004           0.009
  495906          -0.006          -0.003           0.003
  495907          -0.003           0.001           0.002
  495908          -0.003          -0.003          -0.003
  495909           0.002          -0.000          -0.011
  495910           0.001           0.003           0.005
  495911          -0.002          -0.000          -0.005
  495912           0.006          -0.000           0.002
  495913          -0.002          -0.001           0.001
  495914           0.001           0.001           0.014
  495915           0.002          -0.000           0.006
  495916          -0.007          -0.001           0.009
  495917          -0.001          -0.000          -0.008
  495918           0.002          -0.000          -0.011
  495919           0.003           0.006           0.014
  495920          -0.003          -0.000          -0.008
  495921          -0.002          -0.002          -0.003
  495922          -0.004           0.004           0.013
  495923          -0.001          -0.000          -0.006
  495924           0.004           0.003           0.003
  495925           0.005          -0.000          -0.008
  495926          -0.006          -0.000          -0.003
  495927          -0.000          -0.004           0.002
  495928           0.008           0.004           0.005
  495929          -0.000           0.001           0.002
  495930          -0.003           0.003          -0.000
  495931           0.002           0.000           0.001
  495932           0.002          -0.003          -0.009
  495933          -0.002           0.001           0.011
  495934           0.003          -0.001          -0.002
  495935          -0.003          -0.000           0.004
  495936          -0.000          -0.005          -0.014
  495937           0.000           0.003           0.008
  495938           0.001           0.002           0.006
  495939          -0.001          -0.001          -0.002
  495940           0.000           0.003           0.007
  495941           0.002           0.000          -0.005
  495942           0.000           0.005           0.015
  495943          -0.004           0.008           0.014
  495944          -0.001          -0.002          -0.000
  495945          -0.003          -0.003          -0.010
  495946           0.001          -0.000          -0.007
  495947           0.002           0.007           0.004
  495948          -0.009           0.004           0.017
  495949          -0.003           0.003           0.015
  495950          -0.002           0.002           0.003
  495951           0.003          -0.002          -0.001
  495952          -0.004          -0.001           0.011
  495953          -0.003           0.001          -0.001
  495954           0.004           0.003           0.009
  495955           0.006          -0.007          -0.021
  495956           0.001           0.007           0.009
  495957          -0.001          -0.001          -0.001
  495958          -0.007           0.003           0.001
  495959           0.001           0.000          -0.002
  495960           0.000           0.008           0.016
  495961           0.002           0.000          -0.008
  495962           0.002           0.002           0.011
  495963          -0.000           0.000           0.003
  495964           0.002          -0.004          -0.002
  495965           0.002           0.004           0.005
  495966           0.002          -0.001          -0.005
  495967          -0.003           0.007           0.013
  495968          -0.007           0.007           0.017
  495969          -0.003           0.000           0.002
  495970           0.005          -0.002          -0.004
  495971           0.003           0.003           0.003
  495972           0.001           0.001           0.005
  495973           0.001           0.002           0.001
  495974          -0.001          -0.003          -0.003
  495975          -0.002          -0.000          -0.005
  495976           0.001           0.001          -0.003
  495977          -0.003           0.003           0.006
  495978          -0.001          -0.001          -0.004
  495979           0.001           0.003           0.002
  495980           0.001          -0.001          -0.003
  495981          -0.000           0.000           0.009
  495982          -0.002           0.001          -0.000
  495983          -0.003           0.005           0.015
  495984          -0.001           0.000           0.001
  495985           0.002           0.003           0.015
  495986          -0.001          -0.003          -0.001
  495987          -0.000           0.005           0.005
  495988           0.001          -0.001          -0.001
  495989          -0.001           0.004           0.008
  495990           0.001           0.000          -0.001
  495991          -0.006          -0.002          -0.011
  495992           0.001          -0.000          -0.003
  495993           0.001          -0.002          -0.007
  495994          -0.001           0.006           0.008
  495995           0.001          -0.001           0.000
  495996          -0.003          -0.000          -0.003
  495997          -0.002          -0.001           0.001
  495998           0.003          -0.002          -0.005
  495999          -0.002          -0.000           0.002
  496000           0.001           0.002           0.002
  496001          -0.002           0.002           0.008
  496002          -0.002           0.003           0.003
  496003          -0.001          -0.004          -0.011
  496004           0.002           0.004           0.018
  496005           0.000           0.001           0.004
  496006          -0.003          -0.003          -0.012
  496007          -0.000           0.001          -0.000
  496008           0.002           0.002           0.008
  496009          -0.000          -0.000           0.005
  496010           0.001           0.005           0.005
  496011           0.001          -0.003          -0.011
  496012          -0.001           0.001           0.002
  496013          -0.000           0.004           0.007
  496014           0.002          -0.000           0.006
  496015          -0.006          -0.002          -0.000
  496016           0.002          -0.000          -0.000
  496017          -0.001           0.004           0.005
  496018           0.001          -0.002          -0.000
  496019          -0.004           0.003           0.000
  496020           0.001          -0.001          -0.003
  496021           0.001          -0.003          -0.007
  496022           0.002           0.007           0.011
  496023          -0.001          -0.003          -0.008
  496024           0.001           0.001          -0.004
  496025          -0.002           0.000           0.004
  496026           0.001           0.002           0.003
  496027           0.000           0.002           0.005
  496028          -0.003          -0.003           0.000
  496029           0.006           0.003          -0.002
  496030           0.001          -0.003          -0.004
  496031          -0.001          -0.002          -0.001
  496032           0.002           0.003          -0.003
  496033          -0.003           0.001           0.002
  496034           0.000           0.001          -0.002
  496035           0.002           0.001           0.001
  496036           0.002           0.003           0.013
  496037          -0.002          -0.004          -0.002
  496038          -0.004           0.000          -0.010
  496039           0.000           0.004           0.008
  496040           0.004           0.001          -0.005
  496041           0.002          -0.003          -0.015
  496042           0.000          -0.003          -0.004
  496043           0.002           0.005           0.008
  496044          -0.002           0.002           0.002
  496045           0.001          -0.005          -0.007
  496046           0.002          -0.000           0.000
  496047           0.001           0.006           0.002
  496048          -0.002          -0.001           0.005
  496049          -0.002           0.000          -0.001
  496050           0.001           0.000          -0.003
  496051           0.002          -0.002          -0.004
  496052           0.001           0.005           0.009
  496053          -0.002          -0.007          -0.011
  496054           0.006           0.000          -0.002
  496055          -0.003          -0.001          -0.001
  496056           0.001           0.004           0.012
  496057          -0.000          -0.005          -0.017
  496058          -0.000           0.000           0.003
  496059          -0.002           0.002          -0.000
  496060          -0.001          -0.001           0.006
  496061          -0.002           0.000           0.001
  496062           0.001           0.002          -0.004
  496063           0.001          -0.003          -0.003
  496064          -0.002           0.001           0.004
  496065           0.002          -0.001          -0.000
  496066          -0.003           0.003           0.006
  496067           0.003           0.000          -0.004
  496068          -0.003           0.002          -0.005
  496069           0.001           0.001          -0.001
  496070           0.001           0.001           0.006
  496071          -0.002           0.002           0.005
  496072          -0.003          -0.004          -0.001
  496073           0.004          -0.002          -0.002
  496074           0.001           0.001          -0.001
  496075           0.000           0.005           0.008
  496076           0.001          -0.004          -0.011
  496077           0.004          -0.003          -0.003
  496078          -0.001          -0.002           0.003
  496079          -0.004           0.003           0.002
  496080          -0.001          -0.002          -0.003
  496081           0.004          -0.002           0.003
  496082          -0.002           0.003           0.000
  496083           0.000          -0.001           0.003
  496084           0.001          -0.001          -0.004
  496085           0.004           0.002          -0.007
  496086          -0.002          -0.002          -0.003
  496087          -0.002          -0.004          -0.008
  496088           0.002           0.003          -0.002
